full,rd_leng_miles
Alabama,100170.897
Alaska,17680.928
Arizona,66968.047
Arkansas,99246.486
California,175562.156
Colorado,89207.321
Connecticut,21575.04
Delaware,6525.61
District of Columbia,1515.913
Florida,123487.605
Georgia,128571.803
Hawaii,4501.037
Idaho,53281.228
Illinois,145992.87
Indiana,97110.087
Iowa,114838.394
Kansas,140112.204
Kentucky,80006.165
Louisiana,63746.046
Maine,22851.46
Maryland,32430.478
Massachusetts,36815.231
Michigan,122040.288
Minnesota,141956.661
Mississippi,77512.154
Missouri,132518.842
Montana,73489.786
Nebraska,95331.079
Nevada,47793.433
New Hampshire,16193.067
New Jersey,38990.5
New Mexico,72092.437
New York,114205.26
North Carolina,107954.343
North Dakota,88429.108
Ohio,122991.748
Oklahoma,115078.883
Oregon,78990.7
Pennsylvania,120845.435
Rhode Island,6024.804
South Carolina,79189.65
South Dakota,81697.382
Tennessee,96181.889
Texas,316567.47
Utah,48811.503
Vermont,14248.412
Virginia,75527.129
Washington,81022.207
West Virginia,38878.899
Wisconsin,115751.154
Wyoming,30050.79
Puerto Rico,19916.489
