full,elec_gen_thmgw
Connecticut,44080
Maine,10908
Massachusetts,19477
New Hampshire,17193
Rhode Island,9323
Vermont,2108
New Jersey,61434
New York,124772
Pennsylvania,241331
Illinois,181638
Indiana,94165
Michigan,115513
Ohio,125948
Wisconsin,64276
Iowa,67207
Kansas,56631
Minnesota,59196
Missouri,76941
Nebraska,37911
North Dakota,43032
South Dakota,17322
Delaware,4305
District Of Columbia,211
Florida,247907
Georgia,124201
Maryland,38235
North Carolina,129923
South Carolina,98390
Virginia,93478
West Virginia,65836
Alabama,142733
Kentucky,69908
Mississippi,67723
Tennessee,79057
Arkansas,61100
Louisiana,98715
Oklahoma,80755
Texas,481844
Arizona,108605
Colorado,56838
Idaho,16836
Montana,24948
Nevada,41755
New Mexico,35192
Utah,42566
Wyoming,43461
California,197165
Oregon,61017
Washington,110808
Alaska,6596
Hawaii,9182
